config,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_soft_stops,n_inversions,n_signals_emitted,n_fills,n_alignment_skipped,n_entry_aligned,n_entry_opposed,n_entry_unknown,n_structure_invalidations,error
FVG_INV_STRUCT_ON,2026-04-01,18,50.7369999999828,2.8187222222212664,30,18,3,9,14,18,30,18,0,0,18,0,0,
FVG_INV_STRUCT_ON,2026-04-08,19,-18.188000000008287,-0.957263157895173,33,19,4,9,19,19,33,19,0,0,19,0,0,
FVG_INV_STRUCT_ON,2026-04-14,13,10.074000000004162,0.774923076923397,31,13,5,11,12,13,31,13,0,0,13,0,0,
FVG_INV_STRUCT_ON,2026-04-29,12,37.974000000011074,3.1645000000009227,35,12,5,15,10,12,35,12,0,0,12,0,0,
FVG_INV_STRUCT_ON,2026-05-07,15,96.23900000000594,6.415933333333729,25,15,6,2,10,15,25,15,0,0,15,0,0,
FVG_INV_STRUCT_ON,2026-05-29,16,112.8870000000179,7.055437500001119,37,16,7,11,11,16,37,16,0,0,16,0,0,
FVG_INV_STRUCT_ON,2026-06-01,13,-0.5159999999978028,-0.039692307692138676,32,13,8,10,12,13,32,13,0,0,13,0,0,
FVG_INV_STRUCT_ON,2026-06-11,14,131.87700000000586,9.419785714286133,23,14,5,3,9,14,23,14,0,0,14,0,0,
FVG_INV_STRUCT_ON,2026-06-30,11,-6.372999999999138,-0.579363636363558,27,11,6,9,11,11,27,11,0,0,11,0,0,
FVG_INV_STRUCT_ON,2026-07-02,5,-4.2800000000002,-0.8560000000000401,26,5,11,7,5,5,26,5,0,0,5,0,0,
FVG_INV_STRUCT_ON,2026-07-03,5,-2.410000000002583,-0.48200000000051657,22,5,7,8,5,5,22,5,0,0,5,0,0,
FVG_INV_STRUCT_ON,2026-07-06,5,5.289999999997235,1.057999999999447,24,5,13,6,4,5,24,5,0,0,5,0,0,
FVG_INV_STRUCT_ON,2026-07-13,20,75.0199999999877,3.7509999999993853,33,20,4,8,16,20,33,20,0,0,20,0,0,
FVG_INV_STRUCT_1800,2024-01-02,2,1.2500000000004547,0.6250000000002274,11,2,4,5,1,2,11,2,0,0,2,0,0,
FVG_INV_STRUCT_1800,2024-01-22,0,0.0,0.0,11,0,8,3,0,0,11,0,0,0,0,0,0,
FVG_INV_STRUCT_1800,2024-01-23,0,0.0,0.0,7,0,2,5,0,0,7,0,0,0,0,0,0,
FVG_INV_STRUCT_1800,2024-01-24,1,-0.3100000000001728,-0.3100000000001728,9,1,4,4,1,1,9,1,0,0,1,0,0,
FVG_INV_STRUCT_1800,2024-02-05,1,6.180000000000064,6.180000000000064,20,1,11,8,0,1,20,1,0,0,1,0,0,
FVG_INV_STRUCT_1800,2024-02-06,3,6.490000000003193,2.1633333333343976,8,3,4,1,2,3,8,3,0,0,3,0,0,
FVG_INV_STRUCT_1800,2024-02-14,3,-0.459999999999809,-0.15333333333326968,11,3,4,4,3,3,11,3,0,0,3,0,0,
FVG_INV_STRUCT_1800,2024-02-20,2,-0.6769999999999072,-0.3384999999999536,11,2,7,2,2,2,11,2,0,0,2,0,0,
FVG_INV_STRUCT_1800,2024-03-05,4,7.473000000000411,1.8682500000001028,15,4,3,8,3,4,15,4,0,0,4,0,0,
FVG_INV_STRUCT_1800,2024-03-08,3,-1.7300000000000182,-0.5766666666666728,20,3,9,7,3,3,20,3,0,0,3,0,0,
FVG_INV_STRUCT_1800,2024-04-04,3,7.880000000000109,2.626666666666703,10,3,1,6,1,3,10,3,0,0,3,0,0,
FVG_INV_STRUCT_1800,2024-04-26,4,-2.0299999999997453,-0.5074999999999363,18,4,9,5,4,4,18,4,0,0,4,0,0,
FVG_INV_STRUCT_1800,2024-04-29,5,11.250000000003638,2.2500000000007274,12,5,2,5,3,5,12,5,0,0,5,0,0,
FVG_INV_STRUCT_1800,2024-05-02,6,2.593000000000302,0.432166666666717,25,6,10,9,4,6,25,6,0,0,6,0,2,
FVG_INV_STRUCT_1800,2024-05-06,4,-1.7670000000002801,-0.44175000000007003,16,4,3,9,4,4,16,4,0,0,4,0,0,
FVG_INV_STRUCT_1800,2024-05-09,3,7.165999999997894,2.3886666666659644,30,3,18,9,2,3,30,3,0,0,3,0,0,
FVG_INV_STRUCT_1800,2024-05-15,6,4.84900000000016,0.8081666666666933,15,6,3,6,5,6,15,6,0,0,6,0,0,
FVG_INV_STRUCT_1800,2024-05-22,4,26.08299999999099,6.520749999997747,22,4,9,8,2,4,22,4,0,0,4,0,0,
FVG_INV_STRUCT_1800,2024-05-31,7,24.327000000006592,3.475285714286656,17,7,3,7,4,7,17,7,0,0,7,0,0,
FVG_INV_STRUCT_1800,2024-06-05,9,38.55999999999949,4.284444444444388,12,9,1,2,5,9,12,9,0,0,9,0,0,
FVG_INV_STRUCT_1800,2024-06-07,6,10.927000000008775,1.8211666666681292,30,6,9,14,4,6,30,6,0,0,6,0,0,
FVG_INV_STRUCT_1800,2024-06-12,3,12.410000000001219,4.136666666667073,21,3,8,9,2,3,21,3,0,0,3,0,0,
FVG_INV_STRUCT_1800,2024-06-13,5,-1.9039999999999964,-0.38079999999999925,15,5,6,3,4,5,15,5,0,0,5,0,0,
FVG_INV_STRUCT_1800,2024-06-14,2,10.386999999999716,5.193499999999858,23,2,12,9,1,2,23,2,0,0,2,0,0,
FVG_INV_STRUCT_1800,2024-06-19,0,0.0,0.0,5,0,3,2,0,0,5,0,0,0,0,0,0,
FVG_INV_STRUCT_1800,2024-07-04,2,-0.8499999999994543,-0.42499999999972715,11,2,5,3,2,2,11,2,0,0,2,0,0,
FVG_INV_STRUCT_1800,2024-07-08,4,12.265999999996438,3.0664999999991096,24,4,10,9,3,4,24,4,0,0,4,0,0,
FVG_INV_STRUCT_1800,2024-07-12,7,10.945000000000618,1.563571428571517,19,7,5,7,4,7,19,7,0,0,7,0,0,
FVG_INV_STRUCT_1800,2024-07-17,2,1.0300000000002,0.5150000000001,12,2,3,7,0,2,12,2,0,0,2,0,0,
FVG_INV_STRUCT_1800,2024-07-22,2,-0.819999999999709,-0.4099999999998545,17,2,7,7,2,2,17,2,0,0,2,0,0,
FVG_INV_STRUCT_1800,2024-07-30,1,-0.32999999999992724,-0.32999999999992724,15,1,7,7,1,1,15,1,0,0,1,0,0,
FVG_INV_STRUCT_1800,2024-08-01,4,-1.7630000000003747,-0.4407500000000937,13,4,4,5,3,4,13,4,0,0,4,0,0,
