config,day,n_trades,pnl_total,ev_per_trade,n_fills,n_signals_emitted,n_signals_consumed,n_soft_stops,n_inv_trades_submitted,n_inv_trades_filled,error
INV_3,2025-01-29,53,-0.8379381830994439,-0.015810154398102714,53,18,18,35,4,4,
INV_3,2025-02-19,38,0.5174811793899609,0.013617925773420022,38,17,16,15,1,1,
INV_3,2025-02-27,73,-0.20874659005812635,-0.0028595423295633745,73,26,26,16,2,2,
INV_3,2025-03-24,47,-0.3762880819275172,-0.008006129402713133,47,19,19,12,1,1,
INV_3,2025-04-09,90,4.922051415655005,0.0546894601739445,90,31,31,27,7,7,
INV_3,2025-04-17,81,-1.9836108680387956,-0.024489023062207353,81,27,26,37,7,7,
INV_3,2025-04-30,61,-7.0647796926549145,-0.11581606053532646,61,21,21,24,5,5,
INV_3,2025-05-14,111,-4.8258933265336355,-0.04347651645525798,111,38,38,47,8,8,
INV_3,2025-06-12,51,-0.6450426314090691,-0.01264789473351116,51,20,20,11,2,2,
INV_3,2025-06-13,92,1.3106399977721896,0.014246086932306409,92,30,30,44,11,11,
INV_3,2025-06-17,51,-3.7239138204007154,-0.07301791804707285,51,17,17,24,3,3,
INV_3,2025-07-07,56,1.6908427779400577,0.030193621034643885,56,23,23,22,3,3,
INV_3,2025-07-23,66,-1.3930954792593488,-0.021107507261505287,66,24,24,30,4,4,
INV_3,2025-08-06,50,0.8534435938440764,0.01706887187688153,50,17,17,17,3,3,
INV_3,2025-09-09,61,-3.003650265376109,-0.049240168284854245,61,22,22,30,5,5,
INV_3,2025-12-10,44,0.5692956295551993,0.012938537035345438,44,17,17,18,4,4,
INV_3,2025-12-15,41,0.29207826679733745,0.007123860165788718,41,16,16,9,1,1,
INV_3,2025-12-19,49,-2.2699454877301832,-0.04632541811694252,49,16,16,31,7,7,
INV_3,2025-12-30,65,-3.0625317939490437,-0.04711587375306221,65,22,22,19,3,3,
INV_3,2026-02-12,49,-8.084122436936621,-0.16498209054972696,49,18,18,25,6,6,
INV_3,2026-02-25,61,1.2278195946085664,0.020128190075550268,61,20,20,23,7,7,
INV_3,2026-03-02,59,-0.8358177091425508,-0.014166401849873743,59,22,22,11,3,3,
INV_3,2026-03-06,81,-1.5920510506427188,-0.019654951242502702,81,27,27,19,5,5,
INV_3,2026-04-15,59,0.2785987273803887,0.004722012328481164,59,23,23,26,5,5,
INV_3,2026-05-06,105,-8.254403967450648,-0.0786133711185776,105,41,41,46,11,11,
INV_3,2026-05-12,107,1.5153525038889102,0.014162172933541217,107,40,39,46,13,13,
INV_3,2026-06-05,72,-1.1217108536002345,-0.015579317411114367,72,27,27,26,5,5,
INV_3,2026-06-24,118,-8.094482343893258,-0.06859730799909541,118,41,41,41,6,6,
INV_4,2024-01-23,16,1.4594353988034072,0.09121471242521295,16,8,8,2,0,0,
INV_4,2024-02-07,19,1.0219980517739107,0.0537893711459953,19,8,8,5,1,1,
INV_4,2024-02-08,27,-1.5050281205223353,-0.05574178224156797,27,9,9,7,1,1,
INV_4,2024-02-16,36,-0.17020877556698605,-0.00472802154352739,36,13,13,15,2,2,
INV_4,2024-02-23,48,0.5155581804795019,0.01074079542665629,48,20,20,18,1,1,
INV_4,2024-03-08,61,-2.447838791377914,-0.04012850477668711,61,23,23,25,1,1,
INV_4,2024-03-13,50,1.4589564585893036,0.02917912917178607,50,20,20,18,1,1,
INV_4,2024-04-11,61,-1.4413886796534523,-0.02362932261726971,61,20,20,28,6,6,
INV_4,2024-05-06,59,-2.012570667816514,-0.03411136725112735,59,21,21,17,2,2,
INV_4,2024-05-07,50,0.31296755126807807,0.006259351025361562,50,16,16,24,6,6,
INV_4,2024-05-14,75,-1.5282502009892294,-0.020376669346523057,75,25,25,25,4,4,
INV_4,2024-05-17,83,-0.1153649503035012,-0.001389939160283147,83,29,29,34,4,4,
INV_4,2024-05-24,32,-0.10426576636064055,-0.0032583051987700173,32,14,14,11,2,2,
INV_4,2024-05-31,52,-1.247707267384764,-0.023994370526630077,52,20,20,8,2,2,
INV_4,2024-06-11,50,-1.5254271537978639,-0.030508543075957278,50,17,17,13,1,1,
INV_4,2024-06-18,48,-3.3427384415569277,-0.06964038419910266,48,15,15,22,3,3,
INV_4,2024-06-24,44,-1.094806287396144,-0.02488196107718509,44,16,16,8,1,1,
INV_4,2024-06-25,58,-1.4010012172019137,-0.024155193400032995,58,21,21,17,0,0,
INV_4,2024-06-26,53,-0.17305429354852694,-0.0032651753499722065,53,20,20,10,1,1,
INV_4,2024-07-01,47,-0.4587591520797408,-0.009760833022973208,47,17,17,7,0,0,
INV_4,2024-07-17,55,-1.5260290966137595,-0.027745983574795626,55,19,19,27,6,6,
INV_4,2024-07-18,49,-1.1741462254026374,-0.023962167865359946,49,21,21,12,0,0,
INV_4,2024-07-31,78,-2.4474367974174434,-0.03137739483868517,78,28,28,16,2,2,
INV_4,2024-08-13,41,-1.6639502090871854,-0.040584151441150865,41,14,14,6,0,0,
INV_4,2024-08-19,41,-0.4647984259519642,-0.011336546974438151,41,16,16,13,1,1,
INV_4,2024-09-05,64,-0.0404078706590857,-0.0006313729790482141,64,23,23,23,2,2,
INV_4,2024-09-12,90,-3.9443537118456033,-0.043826152353840034,90,31,31,41,7,7,
INV_4,2024-10-18,76,-2.8017833070081606,-0.03686556982905474,76,25,25,22,5,5,
INV_4,2024-10-23,83,3.1419107813349,0.03785434676307108,83,32,32,26,5,5,
INV_4,2024-11-04,33,-0.34073462838599283,-0.01032529176927251,33,12,12,9,1,1,
INV_4,2024-12-05,54,-0.5286881136163781,-0.009790520622525521,54,21,21,11,2,2,
INV_4,2025-01-29,53,-0.8379381830994439,-0.015810154398102714,53,18,18,35,4,4,
INV_4,2025-02-19,37,0.06275676994118846,0.001696128917329418,37,16,15,15,1,1,
INV_4,2025-02-27,73,-0.20874659005812635,-0.0028595423295633745,73,26,26,16,2,2,
INV_4,2025-03-24,47,-0.3762880819275172,-0.008006129402713133,47,19,19,12,1,1,
INV_4,2025-04-09,86,1.783051415655033,0.020733155995988756,86,30,30,24,6,6,
