config,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_soft_stops,n_inversions,n_signals_emitted,n_fills,error
SNIPER_TP15_BREADTH_OFF,2024-02-14,3,-0.459999999999809,-0.15333333333326968,11,3,4,4,3,3,11,3,
SNIPER_TP15_BREADTH_OFF,2024-02-20,2,-0.6769999999999072,-0.3384999999999536,13,2,8,3,2,2,13,2,
SNIPER_TP15_BREADTH_OFF,2024-03-05,5,10.656000000000404,2.1312000000000806,18,5,4,9,4,5,18,5,
SNIPER_TP15_BREADTH_OFF,2024-03-08,4,-2.2100000000000364,-0.5525000000000091,23,4,11,7,4,4,23,4,
SNIPER_TP15_BREADTH_OFF,2024-04-04,3,7.880000000000109,2.626666666666703,11,3,1,7,1,3,11,3,
SNIPER_TP15_BREADTH_OFF,2024-04-26,4,-2.0299999999997453,-0.5074999999999363,19,4,9,6,4,4,19,4,
SNIPER_TP15_BREADTH_OFF,2024-04-29,6,19.397000000000844,3.232833333333474,18,6,6,6,4,6,18,6,
SNIPER_TP15_BREADTH_OFF,2024-05-02,6,3.978000000002794,0.6630000000004657,29,6,11,12,4,6,29,6,
SNIPER_TP15_BREADTH_OFF,2024-05-06,5,-2.687000000000353,-0.5374000000000706,21,5,6,10,5,5,21,5,
SNIPER_TP15_BREADTH_OFF,2024-05-09,3,4.71599999999853,1.57199999999951,31,3,18,10,2,3,31,3,
SNIPER_TP15_BREADTH_OFF,2024-05-15,6,3.0539999999996326,0.5089999999999387,16,6,4,6,5,6,16,6,
SNIPER_TP15_BREADTH_OFF,2024-05-22,5,17.299999999993815,3.459999999998763,27,5,12,9,3,5,27,5,
SNIPER_TP15_BREADTH_OFF,2024-05-31,10,13.447000000004664,1.3447000000004663,21,10,4,7,7,10,21,10,
