config,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_inv_submitted,n_inv_filled,n_soft_stops,n_inversions,error
SNIPER_300,2026-04-15,9,2.480799999998453,0.27564444444427255,23,9,3,11,9,9,5,9,
SNIPER_300,2026-04-16,13,4.26839999999811,0.32833846153831614,27,13,8,6,13,13,7,13,
SNIPER_300,2026-05-07,16,7.285799999997835,0.45536249999986467,26,16,6,4,16,16,10,16,
SNIPER_300,2026-05-13,7,3.2699999999995275,0.46714285714278964,16,7,3,6,7,7,4,7,
SNIPER_300,2026-06-25,4,3.145999999999731,0.7864999999999327,11,4,2,5,4,4,1,4,
SNIPER_600,2024-01-23,0,0.0,0.0,8,0,3,5,0,0,0,0,
SNIPER_600,2024-02-07,2,2.1239999999997963,1.0619999999998981,8,2,1,5,2,2,0,2,
SNIPER_600,2024-02-08,1,-0.5499999999999545,-0.5499999999999545,10,1,6,3,1,1,1,1,
SNIPER_600,2024-02-23,2,0.14100000000030377,0.07050000000015189,21,2,10,9,2,2,1,2,
SNIPER_600,2024-03-08,4,-2.2100000000000364,-0.5525000000000091,23,4,11,7,4,4,4,4,
SNIPER_600,2024-03-13,2,1.211399999999685,0.6056999999998425,20,2,8,10,2,2,0,2,
SNIPER_600,2024-04-11,9,0.6668000000022403,0.07408888888913781,21,9,4,8,9,9,6,9,
SNIPER_600,2024-05-06,5,-0.058999999999741815,-0.011799999999948362,21,5,6,10,5,5,3,5,
SNIPER_600,2024-05-08,1,-0.2699999999999818,-0.2699999999999818,10,1,7,2,1,1,1,1,
SNIPER_600,2024-05-14,8,-0.34139999999933934,-0.04267499999991742,26,8,15,3,8,8,6,8,
SNIPER_600,2024-05-17,8,2.619600000000446,0.32745000000005575,30,8,16,6,8,8,4,8,
SNIPER_600,2024-05-24,2,-0.5,-0.25,14,2,3,9,2,2,2,2,
SNIPER_600,2024-06-03,7,-1.3199999999992542,-0.18857142857132203,23,7,9,7,7,7,5,7,
SNIPER_600,2024-06-11,3,0.03200000000015274,0.01066666666671758,17,3,9,5,3,3,2,3,
SNIPER_600,2024-06-18,4,-0.5669999999995525,-0.14174999999988813,15,4,7,4,4,4,2,4,
SNIPER_600,2024-06-24,5,1.2155999999995402,0.24311999999990802,16,5,6,5,5,5,3,5,
SNIPER_600,2024-06-25,3,-1.2100000000004911,-0.403333333333497,21,3,12,5,3,3,3,3,
SNIPER_600,2024-06-26,4,-2.269999999999527,-0.5674999999998818,20,4,12,4,4,4,4,4,
SNIPER_600,2024-07-01,1,0.617399999999634,0.617399999999634,17,1,7,9,1,1,0,1,
SNIPER_600,2024-07-18,3,0.34160000000019874,0.11386666666673291,21,3,5,12,3,3,2,3,
SNIPER_600,2024-07-19,9,2.0056000000004133,0.22284444444449036,31,9,11,10,9,9,5,9,
SNIPER_600,2024-07-31,7,-1.0680000000006658,-0.15257142857152367,28,7,13,7,7,7,5,7,
SNIPER_600,2024-08-13,5,1.0624000000002525,0.2124800000000505,14,5,6,3,5,5,3,5,
SNIPER_600,2024-08-19,3,-0.24739999999974316,-0.08246666666658105,16,3,8,5,3,3,2,3,
SNIPER_600,2024-09-05,5,1.071599999999762,0.2143199999999524,23,5,12,6,5,5,3,5,
SNIPER_600,2024-09-12,10,-1.7141999999989823,-0.17141999999989824,32,10,9,12,10,10,7,10,
SNIPER_600,2024-10-21,8,1.5976000000000568,0.1997000000000071,18,8,7,3,8,8,3,8,
SNIPER_600,2024-10-24,2,-0.04100000000016735,-0.020500000000083674,16,2,10,4,2,2,1,2,
SNIPER_600,2024-11-05,2,0.5835999999999332,0.2917999999999666,12,2,4,6,2,2,1,2,
SNIPER_600,2024-12-06,11,-2.487000000000535,-0.22609090909095772,26,11,8,6,11,11,9,11,
SNIPER_600,2025-01-29,4,0.0700000000010732,0.0175000000002683,18,4,10,4,4,4,3,4,
SNIPER_600,2025-02-19,6,1.021166666667341,0.1701944444445568,16,3,6,7,3,3,1,3,
SNIPER_600,2025-02-27,7,0.3802000000005138,0.05431428571435911,26,7,9,10,7,7,5,7,
SNIPER_600,2025-03-24,3,0.0385999999998603,0.0128666666666201,19,3,9,7,3,3,2,3,
SNIPER_600,2025-04-09,17,14.151800000000094,0.8324588235294172,31,17,3,10,17,17,8,17,
SNIPER_600,2025-04-17,15,6.947855072465548,0.4631903381643699,26,12,10,4,12,12,6,12,
SNIPER_600,2025-05-01,10,-3.707999999999629,-0.3707999999999629,20,10,4,6,10,10,7,10,
SNIPER_600,2025-05-14,15,2.041999999998552,0.1361333333332368,38,15,12,11,15,15,7,15,
SNIPER_600,2025-06-13,16,6.610199999999622,0.4131374999999764,30,16,8,6,16,16,6,16,
SNIPER_600,2025-06-16,14,-2.793999999999869,-0.1995714285714192,33,14,9,9,14,14,12,14,
SNIPER_600,2025-06-18,10,4.977400000000216,0.4977400000000216,20,10,5,4,10,10,5,10,
SNIPER_600,2025-07-07,7,0.49999999999999994,0.07142857142857142,23,7,7,8,7,7,5,7,
SNIPER_600,2025-07-24,13,-1.2039999999983597,-0.09261538461525844,32,13,14,5,13,13,8,13,
SNIPER_600,2025-08-07,12,-1.7950000000000732,-0.14958333333333942,26,12,8,5,12,12,10,12,
SNIPER_600,2025-09-09,8,-1.4775999999997111,-0.1846999999999639,22,8,9,5,8,8,6,8,
SNIPER_600,2025-12-11,18,-4.8710000000073705,-0.2706111111115206,36,18,8,9,18,18,14,18,
SNIPER_600,2025-12-15,4,3.081999999999425,0.7704999999998563,16,4,4,7,4,4,2,4,
SNIPER_600,2025-12-26,12,0.19779999999627806,0.01648333333302317,25,12,7,6,12,12,8,12,
SNIPER_600,2025-12-31,6,-3.050000000002001,-0.5083333333336668,18,6,3,8,6,6,5,6,
SNIPER_600,2026-02-13,20,1.8235999999942578,0.0911799999997129,28,20,1,7,20,20,15,20,
SNIPER_600,2026-02-26,11,6.673599999995531,0.6066909090905028,17,11,5,1,11,11,8,11,
SNIPER_600,2026-03-03,28,-12.043600000007245,-0.4301285714288302,45,28,5,12,28,28,20,28,
SNIPER_600,2026-03-09,15,16.297999999998865,1.0865333333332576,25,15,2,8,15,15,7,15,
SNIPER_600,2026-04-15,9,2.480799999998453,0.27564444444427255,23,9,3,10,9,9,5,9,
SNIPER_600,2026-04-16,13,4.26839999999811,0.32833846153831614,27,13,8,5,13,13,7,13,
SNIPER_600,2026-05-07,16,7.285799999997835,0.45536249999986467,26,16,6,4,16,16,10,16,
SNIPER_600,2026-05-13,7,3.2699999999995275,0.46714285714278964,16,7,3,6,7,7,4,7,
SNIPER_600,2026-06-25,4,3.145999999999731,0.7864999999999327,11,4,2,4,4,4,1,4,
SNIPER_INV,2024-01-23,0,0.0,0.0,8,0,3,5,0,0,0,0,
SNIPER_INV,2024-02-07,4,2.1539999999999964,0.5384999999999991,8,2,1,5,4,4,2,4,
SNIPER_INV,2024-02-08,2,-0.5099999999997635,-0.25499999999988177,10,1,6,3,2,2,2,2,
SNIPER_INV,2024-02-23,4,0.08800000000019283,0.022000000000048207,21,2,10,9,4,4,3,4,
SNIPER_INV,2024-03-08,8,-1.6630000000004657,-0.2078750000000582,23,4,11,7,8,8,7,8,
SNIPER_INV,2024-03-13,4,1.1743999999998778,0.29359999999996944,20,2,8,10,4,4,2,4,
SNIPER_INV,2024-04-11,18,0.588800000001811,0.03271111111121172,21,9,4,8,18,18,14,18,
