config,tp_mult,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_soft_stops,n_inversions,n_signals_emitted,n_fills,error
SNIPER_TP4,4.0,2025-10-28,18,15.48799999999892,0.8604444444443844,35,18,10,6,9,11,35,18,
SNIPER_TP4,4.0,2025-11-06,9,1.7999999999988177,0.19999999999986862,24,9,7,8,2,4,24,9,
SNIPER_TP4,4.0,2025-11-11,6,-0.14400000000205182,-0.02400000000034197,27,6,9,11,2,2,27,6,
SNIPER_TP4,4.0,2025-11-13,13,-1.3430000000043947,-0.10330769230803036,25,13,7,4,8,8,25,13,
SNIPER_TP4,4.0,2025-12-26,12,-0.4900000000015998,-0.04083333333346665,26,12,7,7,7,8,26,12,
SNIPER_TP4,4.0,2026-01-07,8,1.5599999999994907,0.19499999999993634,23,8,9,6,3,3,23,8,
SNIPER_TP4,4.0,2026-01-08,13,4.097999999997228,0.315230769230556,28,13,4,10,5,6,28,13,
SNIPER_TP4,4.0,2026-01-16,9,-8.043000000002394,-0.8936666666669326,14,9,0,3,4,4,14,9,
SNIPER_TP4,4.0,2026-01-22,24,0.8259999999972931,0.03441666666655388,47,24,6,16,6,8,47,24,
SNIPER_TP4,4.0,2026-01-26,10,7.491999999996551,0.7491999999996551,15,10,1,4,3,5,15,10,
SNIPER_TP4,4.0,2026-02-02,24,99.07999999999902,4.128333333333292,35,24,2,7,8,13,35,24,
SNIPER_TP4,4.0,2026-02-18,11,16.76999999999316,1.5245454545448327,36,11,7,15,6,10,36,11,
SNIPER_TP4,4.0,2026-02-19,16,13.574000000002343,0.8483750000001464,23,16,4,3,8,9,23,16,
SNIPER_TP4,4.0,2026-03-12,25,2.922999999994318,0.11691999999977272,41,25,4,12,9,11,41,25,
SNIPER_TP4,4.0,2026-03-17,8,5.817000000002736,0.727125000000342,17,8,3,5,3,6,17,8,
SNIPER_TP4,4.0,2026-03-18,19,0.6930000000011207,0.0364736842105853,41,19,9,11,8,9,41,19,
SNIPER_TP4,4.0,2026-03-30,20,30.23599999999442,1.511799999999721,28,20,2,5,9,13,28,20,
SNIPER_TP4,4.0,2026-04-01,18,32.82199999999648,1.8234444444442488,29,18,3,8,6,8,29,18,
SNIPER_TP4,4.0,2026-04-08,19,2.4179999999923893,0.1272631578943363,33,19,4,9,5,7,33,19,
SNIPER_TP4,4.0,2026-04-14,13,-5.019000000001142,-0.38607692307701097,30,13,5,10,6,6,30,13,
SNIPER_TP4,4.0,2026-04-29,12,10.274000000000342,0.8561666666666952,34,12,5,14,3,7,34,12,
SNIPER_TP4,4.0,2026-05-07,16,18.03100000000086,1.1269375000000537,26,16,6,2,7,8,26,16,
SNIPER_TP4,4.0,2026-05-29,16,12.532999999999447,0.7833124999999654,37,16,7,11,7,9,37,16,
SNIPER_TP4,4.0,2026-06-01,13,-0.5489999999954308,-0.042230769230417756,33,13,8,11,4,5,33,13,
SNIPER_TP4,4.0,2026-06-11,14,25.2320000000027,1.802285714285907,23,14,5,3,5,9,23,14,
SNIPER_TP4,4.0,2026-06-30,11,-2.543000000000575,-0.23118181818187045,28,11,6,10,5,5,28,11,
SNIPER_TP4,4.0,2026-07-02,6,-5.619999999998527,-0.9366666666664211,26,6,11,6,1,1,26,6,
SNIPER_TP4,4.0,2026-07-03,6,-3.160000000000764,-0.526666666666794,20,6,7,5,4,4,20,6,
SNIPER_TP4,4.0,2026-07-06,5,-3.110000000000582,-0.6220000000001165,24,5,13,6,2,2,24,5,
SNIPER_TP4,4.0,2026-07-13,21,18.539999999999054,0.8828571428570978,34,21,4,8,7,9,34,21,
SNIPER_TP1,1.0,2024-01-02,2,-0.23999999999978172,-0.11999999999989086,12,2,4,6,1,1,12,2,
SNIPER_TP1,1.0,2024-01-22,0,0.0,0.0,18,0,10,8,0,0,18,0,
SNIPER_TP1,1.0,2024-01-23,0,0.0,0.0,8,0,3,5,0,0,8,0,
SNIPER_TP1,1.0,2024-01-24,2,-0.6070000000001983,-0.30350000000009913,18,2,9,7,2,2,18,2,
SNIPER_TP1,1.0,2024-02-05,1,0.4099999999998545,0.4099999999998545,26,1,12,13,0,1,26,1,
SNIPER_TP1,1.0,2024-02-06,5,-0.8099999999999454,-0.1619999999999891,14,5,4,4,1,2,14,5,
SNIPER_TP1,1.0,2024-02-14,3,0.7799999999999727,0.2599999999999909,11,3,4,4,1,1,11,3,
SNIPER_TP1,1.0,2024-02-20,2,0.05700000000001637,0.028500000000008185,16,2,8,6,1,1,16,2,
SNIPER_TP1,1.0,2024-03-05,5,-0.16399999999930515,-0.03279999999986103,23,5,4,14,2,3,23,5,
SNIPER_TP1,1.0,2024-03-08,4,-2.150000000000091,-0.5375000000000227,23,4,11,8,3,3,23,4,
SNIPER_TP1,1.0,2024-04-04,3,2.599999999999909,0.8666666666666364,12,3,1,7,0,2,12,3,
SNIPER_TP1,1.0,2024-04-26,4,-1.9800000000000182,-0.49500000000000455,22,4,9,8,3,3,22,4,
SNIPER_TP1,1.0,2024-04-29,6,0.28999999999950876,0.04833333333325146,20,6,6,8,1,2,20,6,
SNIPER_TP1,1.0,2024-05-02,6,1.387000000000171,0.23116666666669516,28,6,11,10,0,3,28,6,
SNIPER_TP1,1.0,2024-05-06,5,-0.9429999999997563,-0.18859999999995125,23,5,6,11,1,3,23,5,
SNIPER_TP1,1.0,2024-05-09,3,0.9200000000000728,0.3066666666666909,32,3,18,10,1,2,32,3,
SNIPER_TP1,1.0,2024-05-15,6,-2.5039999999999054,-0.41733333333331757,20,6,4,9,3,4,20,6,
SNIPER_TP1,1.0,2024-05-22,5,0.9629999999997381,0.19259999999994762,29,5,12,11,1,3,29,5,
