config,day,n_trades,pnl_total,ev_per_trade,n_fills,n_signals_emitted,n_signals_consumed,n_soft_stops,n_inv_trades_submitted,n_inv_trades_filled,n_alignment_skipped,n_entry_aligned,n_entry_opposed,n_entry_unknown,error
OPTIMAL,2024-06-25,58,-1.4010012172019137,-0.024155193400032995,58,21,21,17,0,0,213,26,32,0,
OPTIMAL,2024-06-26,53,-0.17305429354852694,-0.0032651753499722065,53,20,20,10,1,1,1390,40,13,0,
OPTIMAL,2024-07-01,50,-0.5487591520795831,-0.010975183041591664,50,18,18,10,0,0,709,23,27,0,
OPTIMAL,2024-07-17,57,-1.505840093177388,-0.026418247248726108,57,20,20,27,6,6,90,16,41,0,
OPTIMAL,2024-07-18,52,-0.7180727790747976,-0.013809091905284569,52,22,22,12,0,0,168,26,26,0,
OPTIMAL,2024-07-31,82,-2.6969367974173415,-0.032889473139235875,82,29,29,20,3,3,275,50,32,0,
OPTIMAL,2024-08-13,43,-1.6456917821208967,-0.0382719019097883,43,15,15,6,0,0,611,34,9,0,
OPTIMAL,2024-08-19,47,-0.6274052635587093,-0.013349048160823601,47,18,18,13,1,1,177,30,17,0,
OPTIMAL,2024-09-05,67,-0.10374120399243723,-0.0015483761789916006,67,24,24,25,2,2,839,32,32,3,
OPTIMAL,2024-09-12,101,-4.828619279610848,-0.04780811167931533,101,34,34,46,9,9,758,36,62,3,
